index,lambda,price,conv,secp,segment
1,4.869908091014052,683740.4901580232,0.010390009110621157,-7.074882891616386e-7,3
2,8.469030772581803,162395.21840579505,0.543194683264241,-4.3529821106879597e-7,3
3,5.568957382902321,474281.0631560455,0.18841024233496578,-6.864396355461789e-7,3
4,7.10593494287153,245226.88645188807,0.4363278051204066,-5.585954998710907e-7,3
5,5.940632515814178,395910.6210034886,0.26623657769552955,-6.62352034720461e-7,3
6,6.677688290232894,287936.83086932194,0.3852450256561272,-5.991981652819503e-7,3
7,6.140135563007459,361265.95586057205,0.3028826724896168,-6.46786087415272e-7,3
8,6.499299010704533,309456.57124574867,0.3603853982233724,-6.156404971844622e-7,3
9,6.243182887677586,345112.29908808833,0.3204598241094315,-6.381986455258725e-7,3
10,6.4181465523406755,320107.2454535487,0.3482952437109754,-6.229467662639823e-7,3
11,6.294872891076507,337419.61124657665,0.3289417050966832,-6.337732311743115e-7,3
12,6.3799262013685345,325324.2594690793,0.3424243259442783,-6.263412703375105e-7,3
13,6.3203663036469315,333722.16050280404,0.3330441920914828,-6.315643514825245e-7,3
14,6.3616507342541,327865.86883720575,0.3395763000204858,-6.279528726849245e-7,3
15,6.3328284798528625,331937.4099809741,0.3350304440897126,-6.30478565265731e-7,3
16,6.352850951761328,329100.70569236716,0.3381954592413204,-6.287261039652998e-7,3
17,6.338893331569327,331074.17801774037,0.335992538083339,-6.299487669833721e-7,3
18,6.348599796146256,329699.8415823196,0.33752615825425974,-6.290989932213887e-7,3
19,6.341838360635775,330656.2549552091,0.3364586524975245,-6.296911786451018e-7,3
20,6.346542829133757,329990.347619199,0.337201789652119,-6.29279264577868e-7,3
