index,lambda,price,conv,secp,segment
1,8.504263966265862,1285721.166764582,0.15016137058361767,-2.3564380703942383e-7,A3
2,10.28467760791424,616647.9583379112,0.35370093686071813,-1.815179314764442e-7,A3
3,9.066598989107389,994806.0796391559,0.24078414283731203,-2.2143134454312205e-7,A3
4,9.720834799289639,757860.0577780267,0.3140329444130669,-2.0047312542764184e-7,A3
5,9.302844595280167,898234.4346244754,0.2710999566344869,-2.141986226084088e-7,A3
6,9.546699929610782,812036.8320153462,0.2977217835011718,-2.0628509665718576e-7,A3
7,9.395772310922146,863869.483308155,0.2817872657902061,-2.112246257318271e-7,A3
8,9.486050712129089,832294.506956005,0.2915257675827461,-2.082838321287976e-7,A3
9,9.430889668985959,851380.4184242698,0.2856497996451863,-2.100861120931284e-7,A3
10,9.46416937538614,839788.8682127129,0.28922260497393903,-2.0900068089951358e-7,A3
11,9.443934707396808,846808.7196790411,0.2870603753901609,-2.0966136498961957e-7,A3
12,9.456180380784883,842550.0929262814,0.2883726517754609,-2.0926179200226827e-7,A3
13,9.448748399194065,845130.8917428306,0.28757758980452114,-2.0950439255435507e-7,A3
14,9.453251164939385,843565.8853180524,0.2880597923212356,-2.0935744522730355e-7,A3
15,9.450520252826507,844514.5440957256,0.2877675229993739,-2.0944658136075305e-7,A3
16,9.452175494083159,843939.36132724,0.28794473922164016,-2.0939255959200924e-7,A3
17,9.451171845765234,844288.0516714226,0.28783730991878054,-2.0942531722147942e-7,A3
18,9.45178026200839,844076.6485296389,0.2879024432420899,-2.0940546004375657e-7,A3
19,9.451411385248491,844204.8108152552,0.28786295692642294,-2.0941749949296053e-7,A3
20,9.451635012464205,844127.1104931693,0.2878868962834757,-2.0941020080549472e-7,A3
