index,lambda,price,conv,secp,segment
1,3.6953401931534335,2218599.6071558218,0.015596398567182312,-2.1447866339872328e-7,1
2,7.38568512639942,539127.0815631662,0.7112035200053615,-1.3325881228796025e-7,1
3,4.415971372549774,1521217.5342275698,0.21415177468160146,-2.0771046812461983e-7,1
4,5.954455827430815,810216.9651147001,0.5211449178834145,-1.7078395268018367e-7,1
5,4.8021904849969586,1269256.733049631,0.30530222838663573,-2.003052503420983e-7,1
6,5.517880955486584,946004.4613051875,0.44801656015247954,-1.8264973589017252e-7,1
7,5.004742492436721,1161669.090834569,0.3489500353656806,-1.9570029666381914e-7,1
8,5.341756115826903,1012075.8031728351,0.41575382671040173,-1.8729347708435216e-7,1
9,5.105873080988587,1113224.6409277164,0.3697336888606763,-1.9326106029788148e-7,1
10,5.2642676416013305,1043596.8813029758,0.4010032366607055,-1.8929092188089844e-7,1
11,5.154756952684583,1090954.3827051087,0.3795481442160062,-1.9205376570311334e-7,1
12,5.229006753077108,1058475.3096509033,0.3941739831122051,-1.901887168548183e-7,1
13,5.177978526859248,1080625.2683730798,0.38415850613987934,-1.9147436908815689e-7,1
14,5.2127280171455945,1065460.9287437636,0.3909960295469892,-1.9060065831453648e-7,1
15,5.188914525803293,1075815.4350210926,0.3863182656602131,-1.9120025155670198e-7,1
16,5.205163861926153,1068732.392395331,0.3895139047824217,-1.9079150802993972e-7,1
17,5.194043345259937,1073571.6084688401,0.3873286472075013,-1.9107142354686816e-7,1
18,5.201638618732373,1070262.610187295,0.3888219830167748,-1.9088032835167664e-7,1
19,5.196443947882383,1072523.9605369624,0.38780101777827086,-1.9101106528448386e-7,1
20,5.199993434525338,1070977.9576483113,0.38849881434001915,-1.9092175235223047e-7,1
